"case","backend","context","completion_tokens","eval_tps","prompt_tps","wall_tps","draft_acceptance","draft_accepted","draft_generated","ngram_accepted","log"
"hip-studio-mtp-n2-262k","hip","262144","256","22.88","58.17","20.82","0.8421","160","190","0","C:\Users\Jun\AppData\Local\Temp\hip-studio-mtp-n2-262k-df469706.err.log"
"hip-mtp-n2-q8kv","hip","262144","256","23.11","73.99","21.45","0.8325","159","191","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-q8kv-441e9aff.err.log"
"hip-mtp-n2-q4kv","hip","262144","256","21.68","46.04","19.44","0.7662","154","201","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-q4kv-68e2aedb.err.log"
"hip-mtp-n2-mmap","hip","262144","256","22.22","50.86","20.06","0.7828","155","198","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-mmap-a8ff4c46.err.log"
"hip-mtp-n2-pmin075","hip","262144","256","20.82","47.72","18.81","0.9474","126","133","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-pmin075-2c440fa5.err.log"
"hip-mtp-n2-poll0","hip","262144","256","21.98","66.57","20.32","0.7379","152","206","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-poll0-06f91725.err.log"
"hip-mtp-n2-poll50","hip","262144","256","22.08","71.8","20.52","0.7415","152","205","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-poll50-b8f3a6c9.err.log"
"hip-ngram-mtp-n2","hip","262144","256","21.75","44.79","19.43","0.7295","151","207","0","C:\Users\Jun\AppData\Local\Temp\hip-ngram-mtp-n2-63d05985.err.log"
"hip-ngram-mtp-n2-pmin075","hip","262144","256","21.75","73.03","20.26","0.9926","134","135","0","C:\Users\Jun\AppData\Local\Temp\hip-ngram-mtp-n2-pmin075-9d398c29.err.log"
"vulkan-mtp-n2","vulkan","262144","256","22.1","15.96","16.52","0.75","153","204","0","C:\Users\Jun\AppData\Local\Temp\vulkan-mtp-n2-5aee3b1d.err.log"
